epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.1052708416371733,5.341863390759603e-05,1.046402016523722,6.745573928691962e-11,1.3491147856329874e-10
1,0.0001,1.0239250845200307,8.167057623168509e-11,1.0244391750644992,6.745573928691962e-11,1.3491147856329874e-10
2,0.0001,0.9753764787235776,0.01872825128909902,1.0431199086678995,0.04663844466330602,0.08859259922730335
3,0.0001,0.9393582835390761,0.1535205968845573,1.0460829554377375,0.1643376979097845,0.2788209101022694
4,0.0001,0.9082765780590676,0.23562386926513693,0.9959579963941831,0.1775880223950296,0.2986106732571312
5,0.0001,0.8652312852240898,0.2813367240031431,0.9753835459013243,0.15735869532555627,0.26967633054212353
6,0.0001,0.8450172986533191,0.2826273298748381,1.0044056080483101,0.15069428086320055,0.25922168785195593
7,0.0001,0.8300685858404314,0.29289787430540254,1.1081625152278591,0.11300997290676065,0.2014562737442498
8,0.0001,0.827780922522416,0.28341741360707373,1.1352286609443458,0.022379111210184353,0.043303362603383466
9,0.0001,0.7972731203646273,0.32172409009749997,0.8798140828673904,0.22334520729469598,0.3618442501511206
10,0.0001,0.7961234144262366,0.3190781732100341,0.9590912238971607,0.16692809906677203,0.28308054424503093
11,0.0001,0.7696379684918636,0.3380026872636262,0.9165684042750178,0.19119254863073928,0.31732477815752436
12,0.0001,0.764804935535869,0.34304869965596635,1.0600054280177966,0.11744427819942094,0.2085358790047056
13,0.0001,0.7574721292869465,0.34577316526720103,0.7224489289361078,0.3689468811490977,0.5318458171908155
14,0.0001,0.7603148197805559,0.33404852160108517,1.0828855498417003,0.15588665864939832,0.2670603011640573
15,0.0001,0.7284501122461783,0.3616892515381395,1.0375854376200082,0.12247732162831265,0.21601357658129192
16,0.0001,0.7452438449537432,0.3521767260697863,0.7461247167071781,0.3672084021243432,0.5300269800587946
17,0.0001,0.729465593357344,0.3601302870857905,0.7245097234442427,0.3765104500774778,0.539617481037672
18,0.0001,0.7298843844516857,0.3590480957610305,0.9411905095383928,0.1994955341761668,0.3289464373802613
19,0.0001,0.7149059820819545,0.3798605563049952,0.6274180863354657,0.41689878973236777,0.5739783987080107
20,0.0001,0.6969439814219603,0.3943812526259511,0.7032257927430643,0.3728729027166198,0.535377495080209
21,0.0001,0.6886910361212653,0.4054059539650101,0.8486700799014117,0.2864035469154085,0.43957049555058825
22,0.0001,0.6902124990482588,0.3995703623878867,0.9563420708115037,0.22156262069624777,0.35846302628418136
23,0.0001,0.686589800828212,0.4028941939040017,0.8123715374920819,0.2920353789506153,0.44666084087357927
24,0.0001,0.6757052158181732,0.4282493485090795,0.7138876502578323,0.37936767141185207,0.5421317652660724
25,0.0001,0.6677767130974177,0.4281741352353558,0.5568588817441785,0.5108192572096488,0.6654076109623335
26,0.0001,0.6656774983212754,0.4220443963712041,0.6526801779463485,0.43379173359672074,0.595719118105448
27,0.0001,0.6551433439190323,0.43104512785970267,0.5595808509233836,0.4967869486674662,0.6547913658151691
28,0.0001,0.6531143840905782,0.43138981596218334,0.6924796088321789,0.4114473203655777,0.5759370973783521
29,0.0001,0.6501417933283625,0.43548152182407884,0.5621686796884279,0.5031136907466055,0.656206420497303
30,0.0001,0.6364992474381989,0.44723360630820874,0.7168473482131958,0.34760463162649224,0.5064731361539425
31,0.0001,0.6408273178983379,0.45221527224694763,0.6589428795350565,0.38570951317806423,0.5473066029651058
32,0.0001,0.636711919227162,0.4578554311554162,0.5254952578931241,0.5304397281138813,0.6813761000373791
33,0.0001,0.6284481822638899,0.46329589135093197,0.5628869063145405,0.5042491293806869,0.6595439419905562
34,0.0001,0.6333017594910957,0.44094306493382,0.5752289175987244,0.4980474016032597,0.6559382283363642
35,0.0001,0.6152462463926625,0.4719302587960422,0.8193280973949948,0.2999525016077528,0.4540978077763196
36,0.0001,0.6145524422864657,0.47041511494141625,0.5248096984785956,0.5245984314673778,0.677504299575599
37,0.0001,0.6095961557852255,0.4616744461628698,0.6938871235460848,0.3773741777393316,0.5407577253189545
38,0.0001,0.6097399024544535,0.4888561317466769,0.5592442170993702,0.5052381882012024,0.6631296615203026
39,0.0001,0.6027361106228184,0.4861396872296235,0.5008828246915663,0.5557831277912322,0.703242846061902
40,0.0001,0.5902168631956384,0.501365801783912,0.5006876810176952,0.5595290545880586,0.7065613938234616
41,0.0001,0.6017417025727194,0.4866048174074035,0.5100894770106754,0.5422651702278788,0.6929187407572683
42,0.0001,0.6059919088273436,0.48525070759050565,0.5056134133725553,0.5580166587584217,0.7047693814699649
43,0.0001,0.6055889999544298,0.47213526013034707,0.5015917752240155,0.5578275636156341,0.7050458265673543
44,0.0001,0.5854661992272815,0.4931128500478858,0.5622538399051975,0.5162409346341951,0.6697621344591436
45,0.0001,0.5940874053819759,0.48307066206784,0.5011046409606934,0.5527724039904641,0.7016500319122427
46,0.0001,0.596311992890126,0.4853319690373045,0.5016881762324152,0.5540569931451023,0.7019473987903193
47,0.0001,0.5711123798344586,0.5190436541430343,0.5004264051849777,0.5580408447187823,0.7058175232004461
48,0.0001,0.5988214986549841,0.48609845618643555,0.5267376919050475,0.5187923125688947,0.6711702889874835
49,0.0001,0.5833765034740036,0.5027330990779098,0.5211429579837902,0.5295343202047187,0.6823204405064969
