epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,0.775297776600461,0.47531820415273374,0.4727276587486267,0.653544589578992,0.7877338759414646
1,0.0001,0.4887731903129154,0.6065311458544871,0.4360916393995285,0.6425549951491633,0.7783673675236088
2,0.0001,0.4343913245808195,0.6376412303762349,0.3626617431640625,0.7108128711911097,0.8286364665732691
3,0.0001,0.3964701505078946,0.6586567067107081,0.35511375069618223,0.7138679950787719,0.8299447387749841
4,0.0001,0.36368034734034244,0.6868337472336362,0.3307313799858093,0.7229309886386361,0.8350824900495755
5,0.0001,0.3452715014142019,0.697494500432214,0.3222802710533142,0.7268851968474986,0.8379406038851457
6,0.0001,0.3356517857791465,0.7068959377070028,0.3257740491628647,0.7179249123144271,0.8322007630845953
7,0.0001,0.32422047669504894,0.7091395791993796,0.2845961105823517,0.751620833895124,0.8554050857708636
8,0.0001,0.3218090028996453,0.7104380407592993,0.28537914752960203,0.7514070094738357,0.8559338986714201
9,0.0001,0.30757131018204453,0.7245377203685988,0.31843082666397093,0.7295676706333132,0.8391340892745579
10,0.0001,0.2989325482444263,0.7351243315331052,0.3538872057199478,0.7038842757635567,0.8235389292162558
11,0.0001,0.295994167526563,0.7394638157463261,0.2998186892271042,0.736940226162974,0.8453988191649429
12,0.0001,0.28912623033479407,0.7395356623112675,0.29803544700145723,0.7418590105636419,0.8491086090755836
13,0.0001,0.28583122371339503,0.7412000144416494,0.2943937516212463,0.7441805369588372,0.8501506256773625
14,0.0001,0.2756776969511936,0.747390121721105,0.2963659465312958,0.7470053304524863,0.8534141739241263
15,0.0001,0.2695292474724996,0.7563139559648259,0.29572981178760527,0.7386219340900336,0.8462521147687359
16,0.0001,0.27434373550392965,0.7485828953980042,0.2626320731639862,0.7618836184530607,0.8620867079864847
17,0.0001,0.2645517244797062,0.7585694780071616,0.25068816244602204,0.7837630744297946,0.8770306209414099
18,0.0001,0.2611493402057224,0.7568931785938185,0.23821145713329314,0.7827213816378475,0.8756229003379505
19,0.0001,0.2634658934663475,0.7569036684013506,0.25938458323478697,0.7712010648613837,0.8687757640289749
20,0.0001,0.25696115759143856,0.7614955092431688,0.27288032114505767,0.7608990619707044,0.8607702826477115
21,0.0001,0.25586643872529635,0.7674341568041708,0.28187660694122313,0.7680100825295988,0.867037230500558
22,0.0001,0.24728489037097237,0.7739324082079676,0.2906642162799835,0.7455274113589837,0.8516330201890269
23,0.0001,0.25205645133039833,0.7690281099693147,0.2918784284591675,0.7480984451281556,0.8537946092372357
24,0.0001,0.24435183603638483,0.7749229218879548,0.2889949184656143,0.7527281467856218,0.8559070593278917
25,0.0001,0.24147727039217212,0.776335924330103,0.2506887412071228,0.7724146544578561,0.8695898266325888
26,0.0001,0.2371724774532112,0.7794762971282807,0.26973493576049806,0.7643753824652327,0.8652186279947794
27,0.0001,0.2365820609079099,0.7785017119323079,0.2700207036733627,0.7569449926760424,0.8586351813648365
28,0.0001,0.2367397605177061,0.7737810534203406,0.2696560251712799,0.7588599524489185,0.8601489927524152
29,0.0001,0.23509389433411904,0.780801442363302,0.25636895298957824,0.7804329110332039,0.8746662725223738
30,0.0001,0.2303181019048264,0.7844683569372521,0.24447864532470703,0.779774508751785,0.874280801308005
31,0.0001,0.2285608941298208,0.7863250331376435,0.2587789610028267,0.7676117167418793,0.8663890781048604
32,0.0001,0.22763785632488168,0.7847960919967882,0.23264818727970124,0.7880481114128576,0.879943423189665
33,0.0001,0.22437960403844898,0.78926754050524,0.25669574916362764,0.765400005495802,0.8657132653898175
34,0.0001,0.222746837263306,0.7900807425189458,0.2402486827969551,0.776629975125777,0.8726098742892278
35,0.0001,0.21651540209113815,0.7937448439425414,0.23733315885066986,0.7900549792884053,0.8810915091758622
36,0.0001,0.22307714173731244,0.7903340730436874,0.2324662011861801,0.7874696315259303,0.8796164425367884
37,0.0001,0.21866276984413466,0.7935513549466442,0.24807182133197783,0.7791146030648296,0.8746114012234406
38,0.0001,0.21536488304443566,0.7956394498067665,0.2424334841966629,0.7830843869695763,0.8760890460830498
39,0.0001,0.2155182032075561,0.7962587116995798,0.24782240778207779,0.7725570409571456,0.8693358353126908
40,0.0001,0.2132567910730471,0.7970970494741455,0.2587072309851646,0.7683009014873534,0.8667481647188002
41,0.0001,0.21215167837102472,0.8001138209967129,0.23083843529224396,0.7898006757920625,0.881232031988762
42,0.0001,0.20947584070633224,0.801585791903327,0.22879548966884614,0.789321624435697,0.8807528738122531
43,0.0001,0.2112876825310566,0.7986012060450186,0.23185842037200927,0.7852545707097875,0.8782284493606904
44,0.0001,0.20769165180347585,0.8026613641555871,0.22894627511501311,0.7865700625957959,0.8790810774991819
45,0.0001,0.20692428316415093,0.7993780145529524,0.24007659643888474,0.7805139553285604,0.8749972337664264
46,0.0001,0.20684341433239573,0.8020206588318189,0.2462826454639435,0.7810609258245731,0.8754711452298765
47,0.0001,0.21019658664770333,0.8021465142501228,0.23519780546426772,0.785216373110407,0.878271920864815
48,0.0001,0.20759871694040888,0.8009120785479833,0.23176432728767396,0.7877245894851602,0.8799535547587384
49,0.0001,0.20462359591490692,0.8016578144127451,0.2324909222126007,0.7894949188289969,0.8810720439753658
